"Date","Price","Open","High","Low","Vol.","Change %"
"09/15/2019","8,603.00","8,719.00","8,900.00","8,501.00","2.07K","-0.92%"
"09/08/2019","8,683.00","8,651.00","8,738.00","8,640.00","2.28K","0.21%"
"09/01/2019","8,665.00","8,524.00","8,700.00","8,502.00","9.92K","2.15%"
"08/25/2019","8,483.00","8,462.00","8,556.00","8,430.00","49.68K","-0.29%"
"08/18/2019","8,508.00","8,533.00","8,666.00","8,460.00","123.68K","-0.50%"
"08/11/2019","8,551.00","9,460.00","9,460.00","8,518.00","72.89K","-4.19%"
"08/04/2019","8,925.00","8,317.00","9,242.00","8,317.00","0.09K","2.36%"
"07/28/2019","8,719.00","8,719.00","8,719.00","8,719.00","","0.00%"
"07/21/2019","8,719.00","8,495.00","8,991.00","8,459.00","0.08K","0.22%"
"07/14/2019","8,700.00","8,700.00","8,700.00","8,700.00","","7.10%"
"07/07/2019","8,123.00","8,123.00","8,123.00","8,123.00","","0.00%"
"06/30/2019","8,123.00","8,123.00","8,123.00","8,123.00","","0.00%"
"06/23/2019","8,123.00","8,123.00","8,123.00","8,123.00","","0.00%"
"06/16/2019","8,123.00","7,888.00","8,358.00","7,888.00","0.00K","-5.44%"
"06/09/2019","8,590.00","8,590.00","8,590.00","8,590.00","","0.00%"
"06/02/2019","8,590.00","8,590.00","8,590.00","8,590.00","","0.00%"
"05/26/2019","8,590.00","8,640.00","8,899.00","8,451.00","0.04K","2.26%"
"05/19/2019","8,400.00","8,546.00","8,886.00","8,400.00","0.01K","-4.01%"
"05/12/2019","8,751.00","8,350.00","8,620.00","8,320.00","1.50K","1.45%"
"05/05/2019","8,626.00","8,800.00","8,839.00","8,275.00","8.03K","-2.37%"
"04/28/2019","8,835.00","8,763.00","8,860.00","8,763.00","10.15K","0.68%"
"04/21/2019","8,775.00","8,782.00","8,884.00","8,755.00","43.41K","-0.23%"
"04/14/2019","8,795.00","8,906.00","8,920.00","8,764.00","76.95K","-3.82%"
"04/07/2019","9,144.00","9,144.00","9,144.00","9,144.00","","0.00%"
"03/31/2019","9,144.00","9,144.00","9,144.00","9,144.00","","0.00%"
"03/24/2019","9,144.00","8,707.00","9,152.00","8,707.00","0.01K","4.56%"
"03/17/2019","8,745.00","8,780.00","8,943.00","8,548.00","0.00K","-2.64%"
"03/10/2019","8,982.00","8,982.00","8,982.00","8,982.00","","-0.96%"
"03/03/2019","9,069.00","9,069.00","9,069.00","9,069.00","","0.00%"
"02/24/2019","9,069.00","9,069.00","9,069.00","9,069.00","","0.00%"
"02/17/2019","9,069.00","8,842.00","9,296.00","8,842.00","0.01K","-3.83%"
"02/10/2019","9,430.00","9,430.00","9,430.00","9,430.00","","0.00%"
"01/27/2019","9,430.00","9,430.00","9,430.00","9,430.00","","0.00%"
"01/20/2019","9,430.00","9,430.00","9,430.00","9,430.00","0.00K","2.42%"
"01/13/2019","9,207.00","9,346.00","9,839.00","8,800.00","1.03K","-1.41%"
"01/06/2019","9,339.00","9,120.00","9,380.00","9,120.00","2.76K","1.82%"
"12/30/2018","9,172.00","9,168.00","9,240.00","9,055.00","2.70K","0.48%"
"12/23/2018","9,128.00","8,990.00","9,250.00","8,842.00","38.32K","1.54%"
"12/16/2018","8,990.00","8,987.00","9,175.00","8,956.00","108.05K","-19.50%"
"12/09/2018","11,168.00","11,168.00","11,168.00","11,168.00","","0.00%"
"12/02/2018","11,168.00","11,168.00","11,168.00","11,168.00","0.00K","8.00%"
"11/25/2018","10,341.00","10,341.00","10,341.00","10,341.00","","5.00%"
"11/18/2018","9,849.00","9,849.00","9,849.00","9,849.00","","-5.00%"
"11/11/2018","10,367.00","10,367.00","10,367.00","10,367.00","0.00K","-4.01%"
"11/04/2018","10,800.00","10,800.00","10,800.00","10,800.00","0.00K","3.58%"
"10/28/2018","10,427.00","10,000.00","10,427.00","10,000.00","0.00K","4.70%"
"10/21/2018","9,959.00","9,950.00","9,979.00","9,950.00","0.00K","-4.44%"
"10/14/2018","10,422.00","10,422.00","10,422.00","10,422.00","","0.00%"
"10/07/2018","10,422.00","10,422.00","10,422.00","10,422.00","","0.00%"
"09/23/2018","10,422.00","10,422.00","10,422.00","10,422.00","","0.00%"
"09/16/2018","10,422.00","9,608.00","10,677.00","9,608.00","0.01K","5.55%"
"09/09/2018","9,874.00","10,050.00","10,050.00","9,850.00","0.35K","-0.95%"
"09/02/2018","9,969.00","9,813.00","10,000.00","9,745.00","3.09K","1.22%"
"08/26/2018","9,849.00","9,750.00","9,896.00","9,680.00","13.66K","0.90%"
"08/19/2018","9,761.00","9,900.00","10,051.00","9,682.00","56.81K","-2.21%"
"08/12/2018","9,982.00","9,344.00","10,146.00","9,344.00","52.89K","0.42%"
"08/05/2018","9,940.00","9,967.00","10,200.00","9,899.00","0.14K","4.14%"
"07/29/2018","9,545.00","9,661.00","9,661.00","9,498.00","0.00K","0.01%"
"07/22/2018","9,544.00","9,796.00","9,796.00","9,335.00","0.00K","2.24%"
"07/15/2018","9,335.00","9,400.00","9,400.00","9,233.00","0.01K","2.68%"
"07/08/2018","9,091.00","9,199.00","9,199.00","9,020.00","0.00K","0.79%"
"07/01/2018","9,020.00","9,021.00","9,021.00","9,020.00","0.00K","-1.96%"
"06/24/2018","9,200.00","9,570.00","9,570.00","8,863.00","0.01K","0.27%"
"06/17/2018","9,175.00","9,115.00","9,309.00","9,103.00","0.00K","-0.37%"
"06/10/2018","9,209.00","9,161.00","9,259.00","9,161.00","0.00K","-16.12%"
"06/03/2018","10,979.00","10,979.00","10,979.00","10,979.00","","0.00%"
"05/27/2018","10,979.00","9,342.00","10,979.00","9,161.00","0.01K","22.40%"
"05/20/2018","8,970.00","8,970.00","8,970.00","8,970.00","","0.00%"
"05/13/2018","8,970.00","9,140.00","9,190.00","9,120.00","1.11K","-1.81%"
"05/06/2018","9,135.00","9,190.00","9,249.00","9,100.00","0.82K","0.25%"
"04/29/2018","9,112.00","8,815.00","9,180.00","8,815.00","8.71K","3.18%"
"04/22/2018","8,831.00","8,735.00","8,900.00","8,709.00","40.14K","0.08%"
"04/15/2018","8,824.00","8,880.00","8,940.00","8,721.00","46.63K","-5.12%"
"04/08/2018","9,300.00","9,300.00","9,300.00","9,300.00","0.00K","2.09%"
"04/01/2018","9,110.00","9,110.00","9,110.00","9,110.00","","0.00%"
"03/25/2018","9,110.00","9,050.00","9,150.00","9,050.00","0.01K","0.66%"
"03/18/2018","9,050.00","9,050.00","9,050.00","9,050.00","0.00K","0.00%"
"03/11/2018","9,050.00","9,050.00","9,050.00","9,050.00","","7.74%"
"03/04/2018","8,400.00","8,400.00","8,400.00","8,400.00","0.00K","-3.97%"
"02/25/2018","8,747.00","8,747.00","8,747.00","8,747.00","","0.00%"
"02/18/2018","8,747.00","8,747.00","8,747.00","8,747.00","0.00K","-2.81%"
"02/11/2018","9,000.00","9,000.00","9,000.00","9,000.00","","0.00%"
"02/04/2018","9,000.00","9,000.00","9,000.00","9,000.00","0.01K","-0.01%"
"01/28/2018","9,001.00","9,809.00","9,809.00","9,001.00","0.02K","-3.70%"
"01/21/2018","9,347.00","9,464.00","9,517.00","9,173.00","0.02K","-1.24%"
"01/14/2018","9,464.00","9,500.00","9,611.00","9,393.00","2.40K","0.15%"
"01/07/2018","9,450.00","9,270.00","9,480.00","9,270.00","1.84K","1.63%"
"12/31/2017","9,298.00","9,150.00","9,353.00","9,150.00","1.42K","1.88%"
"12/24/2017","9,126.00","9,091.00","9,169.00","8,951.00","18.81K","0.81%"
"12/17/2017","9,053.00","9,050.00","9,170.00","8,980.00","41.53K","0.78%"
"12/10/2017","8,983.00","9,014.00","9,053.00","8,907.00","11.37K","-0.63%"
"12/03/2017","9,040.00","8,999.00","9,349.00","8,999.00","0.01K","3.02%"
"11/26/2017","8,775.00","8,700.00","8,800.00","8,700.00","0.00K","-2.92%"
"11/19/2017","9,039.00","9,039.00","9,039.00","9,039.00","0.00K","0.00%"
"11/12/2017","9,039.00","9,039.00","9,039.00","9,039.00","","7.92%"
"11/05/2017","8,376.00","8,376.00","8,376.00","8,376.00","","0.00%"
"10/29/2017","8,376.00","8,385.00","8,400.00","8,345.00","0.00K","-4.30%"
"10/22/2017","8,752.00","8,752.00","8,752.00","8,752.00","0.00K","0.02%"
"10/15/2017","8,750.00","8,750.00","8,750.00","8,750.00","","0.00%"
"10/08/2017","8,750.00","8,750.00","8,750.00","8,750.00","","0.00%"
"09/24/2017","8,750.00","8,703.00","8,800.00","8,559.00","0.05K","2.08%"
"09/17/2017","8,572.00","8,727.00","8,727.00","8,418.00","0.01K","-3.22%"
"09/10/2017","8,857.00","8,900.00","9,145.00","8,650.00","2.28K","-2.02%"
"09/03/2017","9,040.00","9,201.00","9,668.00","8,988.00","4.29K","-1.75%"
"08/27/2017","9,201.00","8,860.00","9,303.00","8,750.00","21.90K","2.67%"
"08/20/2017","8,962.00","8,631.00","9,007.00","8,631.00","63.03K","4.28%"
"08/13/2017","8,594.00","8,415.00","8,630.00","8,281.00","107.06K","1.11%"
"08/06/2017","8,500.00","8,326.00","8,600.00","8,326.00","0.01K","8.21%"
"07/30/2017","7,855.00","8,662.00","8,662.00","7,855.00","0.00K","-9.32%"
"07/23/2017","8,662.00","8,599.00","8,800.00","8,599.00","0.02K","3.62%"
"07/16/2017","8,359.00","8,257.00","8,480.00","7,968.00","0.16K","13.11%"
"07/09/2017","7,390.00","7,600.00","7,600.00","7,600.00","0.00K","2.92%"
"07/02/2017","7,180.00","7,180.00","7,180.00","7,180.00","0.00K","-5.68%"
"06/25/2017","7,612.00","7,916.00","7,916.00","7,350.00","0.01K","-1.98%"
"06/18/2017","7,766.00","7,777.00","8,095.00","7,486.00","0.02K","0.57%"
"06/11/2017","7,722.00","8,427.00","8,427.00","7,722.00","0.00K","-2.87%"
"06/04/2017","7,950.00","7,950.00","7,950.00","7,950.00","0.00K","6.00%"
"05/28/2017","7,500.00","8,500.00","9,140.00","7,500.00","0.02K","-13.84%"
"05/21/2017","8,705.00","8,330.00","8,888.00","8,202.00","0.02K","9.43%"
"05/14/2017","7,955.00","7,500.00","8,000.00","7,485.00","0.59K","7.34%"
"05/07/2017","7,411.00","7,538.00","7,677.00","7,330.00","0.63K","-0.95%"
"04/30/2017","7,482.00","7,800.00","7,841.00","7,460.00","2.35K","-3.88%"
"04/23/2017","7,784.00","7,660.00","7,830.00","7,561.00","39.52K","0.09%"
"04/16/2017","7,777.00","7,770.00","7,870.00","7,639.00","44.52K","-10.39%"
"04/09/2017","8,679.00","8,679.00","8,679.00","8,679.00","","0.00%"
"04/02/2017","8,679.00","8,679.00","8,679.00","8,679.00","","0.00%"
"03/26/2017","8,679.00","8,679.00","8,679.00","8,679.00","","0.00%"
"03/19/2017","8,679.00","8,679.00","8,679.00","8,679.00","","0.00%"
"03/12/2017","8,679.00","8,679.00","8,679.00","8,679.00","","-3.68%"
